acctid,state,zip,rollout,cobal,collscr,cs,accessscr,lnacscr,bureauscr,eaglemod,numcalls,numrpcs,totalpay
130,TX,77274,Wells,7374,10011871,10,0.9389,-0.06,110,12,261,1,275
131,SC,29803,Discover,5744,08012174,8,0.3066,-1.18,118,68,1,1,253
132,NY,14012,Discover,2683,04013125,4,0.0142,-4.25,126,47,45,1,1510
133,CA,90066,Associates,4987,02014175,2,0.0581,-2.85,131,51,62,4,460
134,WA,98107,Bank_Of_Am,627,06012712,6,0.5286,-0.64,66,37,34,10,677
135,WI,54476,Chase,949,04013190,4,0.5961,-0.52,112,41,39,9,745
136,AZ,85017,Wells,1088,05012929,5,0.9122,-0.09,120,89,42,1,250
137,NY,11758,Chase,4880,07012388,7,0.2586,-1.35,122,95,75,1,2229
138,TX,76657,Chase,2043,10011868,10,0.1073,-2.23,129,3,252,2,25
139,TX,79413,Bank_Of_Am,3706,10010167,10,0.7514,-0.29,127,29,11,2,650
140,OH,44718,Discover,1531,08000000,8,0.7110,-0.34,124,94,81,3,25
141,FL,34972,Chase,3573,05922894,5,0.4002,-0.92,109,92,11,1,522
142,CA,92009,Wells,1336,01015012,1,0.1506,-1.89,103,88,80,14,376
143,CA,95521,Bank_Of_Am,2080,01019253,1,0.9289,-0.07,107,6,25,6,125
144,CA,94501,Bank_Of_Am,1877,05012879,5,0.2260,-1.49,96,58,73,5,470
145,MD,20746,Bank_Of_Am,4163,04013228,4,0.0354,-3.34,96,50,51,2,3255
146,IL,60477,Discover,5284,07012511,7,0.7773,-0.25,131,63,8,3,2090
147,TX,78219,Chase,2086,10011749,10,0.2005,-1.61,141,38,52,2,1174
148,NY,13202,Discover,2019,04013245,4,0.0850,-2.47,132,91,69,6,1015
149,PA,16510,Chase_Rev,1832,03013659,3,0.2651,-1.33,133,65,95,2,2267
150,PA,15043,Discover,3335,01016205,1,0.7683,-0.26,115,81,85,4,1552
151,NY,11207,Chase,1792,06012761,6,0.3837,-0.96,135,99,14,4,200
152,TN,37821,Discover,5230,07012425,7,0.8854,-0.12,105,50,86,1,1475
153,CA,95205,Bank_Of_Am,905,01016366,1,0.0239,-3.73,132,13,34,1,600
154,PA,16033,Discover,2543,06012700,6,0.5146,-0.66,101,31,90,7,320
155,CA,94122,Wells,5163,01015757,1,0.0908,-2.4,132,19,34,17,2701
156,CA,93230,Chase,2259,05012862,5,0.8650,-0.15,121,18,151,1,3385
157,VA,24054,Associates,1240,06012762,6,0.5289,-0.64,129,16,224,4,650
158,CA,95209,Wells,2525,01015443,1,0.8453,-0.17,119,38,24,5,242
159,LA,70503,Discover,2043,04013066,4,0.2821,-1.27,124,58,117,1,2400
160,NY,10801,Wells,1933,01017212,1,0.9628,-0.04,121,32,57,3,200
161,GA,31632,Discover,3087,05012930,5,0.6689,-0.4,113,75,103,1,100
162,AK,99802,Bank_Of_Am,3083,03013500,3,0.4350,-0.83,148,23,10,1,175
163,CA,92054,Wells,5517,06012569,6,0.8714,-0.14,139,35,19,5,1840
164,CA,92866,Associates,3181,07012536,7,0.5544,-0.59,85,56,55,2,2000
165,IN,46268,Discover,4496,03924248,3,0.6797,-0.39,90,29,107,6,1695
166,NH,03062,Discover,3828,08012325,8,0.7460,-0.29,74,94,116,6,395
167,FL,34233,Associates,3710,02014225,2,0.4942,-0.7,126,26,38,2,875
168,PA,15216,Discover,1885,01015261,1,0.6836,-0.38,142,17,49,4,940
169,GA,31909,Discover,2577,01019605,1,0.4111,-0.89,117,45,40,1,185
170,CA,90019,Bank_Of_Am,1458,01016857,1,0.1639,-1.81,121,91,107,3,93
171,VA,23112,Chase_Rev,2024,03013559,3,0.5247,-0.64,114,89,38,1,1072
172,TX,79936,Discover,1446,08000000,8,0.5500,-0.6,108,42,292,1,100
173,ME,04927,Chase_Rev,1520,04013280,4,0.0714,-2.64,123,30,103,2,31
174,CA,91343,Wells,1679,02013905,2,0.2434,-1.41,105,38,24,1,450
175,WA,98026,Wells,1787,06012706,6,0.3923,-0.94,118,41,40,1,495
176,TN,37172,Chase,5993,06012668,6,0.8351,-0.18,126,82,33,1,3025
177,CA,94518,Wells,2518,01016020,1,0.7144,-0.34,124,27,122,3,66
178,TX,75758,Discover,3745,10011505,10,0.5145,-0.66,110,51,33,1,584
179,AL,36612,Discover,2554,04013189,4,0.1779,-1.73,138,28,61,8,55
180,TX,75243,Discover,3343,03013309,3,0.8708,-0.14,125,49,102,2,150
181,TN,37115,Discover,6512,08012298,8,0.3003,-1.2,116,68,42,19,120
182,MA,02301,Discover,2399,04013056,4,0.1717,-1.76,110,41,50,2,1200
183,CA,93204,Bank_Of_Am,2809,03013448,3,0.1577,-1.85,119,87,460,1,25
184,AZ,85706,Associates,3785,10011608,10,0.2443,-1.41,115,47,22,1,25
185,AZ,85365,Discover,3709,04013178,4,0.0260,-3.65,75,29,150,1,150
186,LA,71220,Discover,1556,03013406,3,0.8700,-0.14,120,6,98,5,2517
187,FL,33186,Associates,1780,05012960,5,0.8947,-0.11,102,92,52,2,28
188,NC,28311,Discover,5660,10920749,10,0.3554,-1.03,141,34,223,1,820
189,UT,84068,Wells_FIB,5786,05012773,5,0.2923,-1.23,126,52,165,2,300
190,MO,63301,Bank_Of_Am,3399,05012945,5,0.8835,-0.12,125,96,33,1,3801
191,ID,83303,Bank_Of_Am,11533,08012212,8,0.9278,-0.07,143,77,69,19,25
192,TX,76704,Associates,2030,07012525,7,0.1638,-1.81,142,34,69,2,423
193,NH,03062,Discover,5284,08000000,8,0.8619,-0.15,101,58,6,1,25
194,PA,17327,Bank_Of_Am,5693,05012800,5,0.8240,-0.19,132,44,161,4,175
195,WA,98310,Bank_Of_Am,568,01015888,1,0.3829,-0.96,113,91,79,7,50
196,NJ,08854,Discover,6635,08012236,8,0.4522,-0.79,128,96,39,2,4637
197,AL,35085,Chase,1046,03013468,3,0.6404,-0.45,131,60,7,3,150
198,CA,90068,Wells,2762,01015332,1,0.3695,-1,97,15,57,1,1422
199,CA,90670,Wells,5755,07012405,7,0.5323,-0.63,141,92,36,1,238
200,FL,34234,Discover,4235,03013447,3,0.2292,-1.47,125,39,5,1,137
201,FL,33325,Discover,7572,01016225,1,0.1996,-1.61,127,13,162,6,1420
202,LA,70392,Associates,2650,06012612,6,0.8531,-0.16,122,79,109,1,550
203,LA,70506,Discover,2012,03013670,3,0.2330,-1.46,107,99,26,2,1375
204,TX,78539,Discover,2537,06012650,6,0.3582,-1.03,123,67,10,3,1655
205,LA,71457,Associates,2791,05012882,5,0.2311,-1.47,120,31,62,2,907
206,MA,02141,Chase_Rev,8487,08012235,8,0.3765,-0.98,119,21,6,1,162
207,CA,91802,Bank_Of_Am,1082,03013524,3,0.3303,-1.11,149,74,58,3,860
208,KY,40337,Associates,1334,05012851,5,0.1193,-2.13,122,3,82,1,163
209,LA,70117,Discover,3540,01017362,1,0.1209,-2.11,105,79,52,2,808
210,NY,11727,Bank_Of_Am,8536,09920870,9,0.1051,-2.25,125,3,4,2,1100
211,NC,28073,Bank_Of_Am,1822,01015799,1,0.5347,-0.63,112,81,201,2,630
212,CA,92868,Bank_Of_Am,4804,10011688,10,0.7159,-0.33,123,73,10,1,50
213,CA,91335,Wells,2257,04013016,4,0.9456,-0.06,129,27,48,1,1723
214,CO,80013,Wells,5041,01017024,1,0.9761,-0.02,104,23,109,1,5
215,CA,90631,Wells,1189,06012559,6,0.2428,-1.42,104,29,32,1,25
216,MI,48198,Discover,5680,07012492,7,0.2297,-1.47,118,44,288,1,2200
217,OH,45601,Discover,2283,05012850,5,0.2210,-1.51,102,9,82,2,988
218,AL,35063,Chase,2550,04013156,4,0.8417,-0.17,144,31,110,2,56
219,KY,40216,Discover,2803,01926027,1,0.4287,-0.85,142,81,127,2,900
220,KS,66104,Chase,2899,05012859,5,0.0931,-2.37,141,73,56,7,531
221,LA,70092,Bank_Of_Am,839,06012753,6,0.1138,-2.17,146,86,13,4,621
222,KS,66112,Associates,2855,06012690,6,0.8262,-0.19,144,66,31,3,2008
223,PA,19147,Discover,9007,01019022,1,0.4417,-0.82,131,54,50,7,405
224,KS,67361,Chase_Rev,7247,08012336,8,0.8233,-0.19,129,52,45,1,300
225,WI,53051,Chase,1918,07012531,7,0.9099,-0.09,124,54,18,2,1599
226,TX,75182,Chase,8676,10011223,10,0.1331,-2.02,128,2,83,1,2728
227,CA,93291,Discover,2364,09012099,9,0.8438,-0.17,110,62,1,1,1746
228,IA,52402,Discover,5432,09011974,9,0.6953,-0.36,132,50,31,3,50
229,MA,01906,Bank_Of_Am,2519,01016974,1,0.6616,-0.41,131,21,99,12,220
230,CA,92375,Bank_Of_Am,1017,07012472,7,0.8337,-0.18,140,9,293,3,195
231,MA,01057,Wells,3407,05012880,5,0.9439,-0.06,112,3,5,1,100
232,NJ,08054,Discover,2755,07012481,7,0.1673,-1.79,132,58,18,1,474
233,TX,77282,Discover,2087,10011623,10,0.5691,-0.56,138,19,6,1,1300
234,AZ,85210,Wells_FIB,3009,02014631,2,0.1919,-1.65,86,56,94,9,61
235,IN,46375,Chase,2746,02014215,2,0.7067,-0.35,123,62,120,1,1811
236,NC,28585,Chase_Rev,1435,02014120,2,0.6184,-0.48,105,58,52,3,55
237,CA,91706,Associates,1110,08000000,8,0.1068,-2.24,139,20,85,2,10
238,CA,90064,Wells_FIB,11038,08012225,8,0.0594,-2.82,123,62,66,7,3400
239,CA,94107,Wells,1691,02014109,2,0.2436,-1.41,95,82,95,3,717
240,TX,77520,Chase,1068,08012180,8,0.4327,-0.84,131,39,51,1,20
241,TX,75052,Discover,1281,08000000,8,0.9384,-0.06,95,74,87,1,42
242,CA,92359,Bank_Of_Am,2746,06922501,6,0.9043,-0.1,124,82,294,6,1200
243,OK,73159,Discover,1588,02013911,2,0.5099,-0.67,98,72,31,4,400
244,MS,39180,Associates,688,08000000,8,0.5913,-0.53,125,67,70,2,200
245,TX,76017,Discover,766,08012279,8,0.7674,-0.26,91,71,77,2,100
246,PA,19119,Bank_Of_Am,412,01016413,1,0.1898,-1.66,132,74,221,1,10
247,CA,95828,Chase,6166,08012145,8,0.7843,-0.24,145,93,92,1,500
248,FL,33183,Chase,1536,02013690,2,0.1700,-1.77,133,71,84,1,1800
249,CA,90254,Bank_Of_Am,3522,01016169,1,0.1815,-1.71,113,28,40,1,2089
250,CA,92692,Chase_Rev,3064,05012899,5,0.6853,-0.38,130,83,123,1,1885
251,MO,64030,Associates,7312,03013403,3,0.0150,-4.2,100,53,96,15,25
252,CA,94549,Wells,1217,06012688,6,0.6703,-0.4,128,34,81,1,275
253,IA,50313,Bank_Of_Am,5530,01018914,1,0.4497,-0.8,123,27,181,3,25
254,SC,29556,Discover,678,08000000,8,0.5570,-0.59,118,81,22,3,60
255,OR,97838,Bank_Of_Am,1342,02013722,2,0.2054,-1.58,99,14,87,1,210
256,CA,92649,Wells,1372,06012750,6,0.6898,-0.37,112,75,18,3,717
257,TX,75206,Wells,1497,10011454,10,0.9981,0,123,24,17,2,3115
258,OR,97479,Wells,2072,01017093,1,0.7393,-0.3,129,68,28,2,669
259,ID,83815,Bank_Of_Am,5391,10010986,10,0.6047,-0.5,110,6,7,2,1075
260,CA,95112,Wells,1475,10011849,10,0.7065,-0.35,95,60,122,4,316
261,WI,53141,Chase_Rev,3628,04923328,4,0.1406,-1.96,129,74,36,8,1128
262,OH,44312,Chase_Rev,1163,05013006,5,0.4582,-0.78,113,11,65,1,262
263,CA,94523,Wells,1902,05012992,5,0.5902,-0.53,131,66,45,3,915
264,CA,93426,Wells,2301,01015245,1,0.2438,-1.41,111,44,213,2,141
265,CA,95240,Discover,1963,05012777,5,0.7345,-0.31,144,55,25,6,1327
266,NJ,07960,Bank_Of_Am,5849,01016251,1,0.6345,-0.45,112,9,40,2,625
267,LA,70438,Chase_Rev,2075,03013291,3,0.4555,-0.79,86,94,54,1,550
268,CA,95012,Wells,2087,01015469,1,0.3082,-1.18,107,54,78,4,375
269,CA,92691,Discover,5839,09012123,9,0.7447,-0.29,139,95,218,2,829
270,CA,92056,Bank_Of_Am,1708,06012700,6,0.1945,-1.64,137,90,2,1,169
271,PA,16833,Chase,2741,02014293,2,0.9341,-0.07,98,53,167,5,330
272,NY,11210,Bank_Of_Am,2144,01019302,1,0.1234,-2.09,120,63,2,2,2247
273,TX,78681,Discover,4717,10011307,10,0.8693,-0.14,99,87,69,4,1000
274,TX,78210,Discover,3751,02013805,2,0.6528,-0.43,133,79,25,6,3615
275,NY,11419,Chase_Rev,7636,07012391,7,0.5962,-0.52,141,29,244,1,100
276,LA,70548,Wells,1690,03013623,3,0.2507,-1.38,115,3,43,1,385
277,IL,60643,Discover,3091,04923167,4,0.4931,-0.71,137,60,52,2,770
278,TX,75007,Associates,6378,10011234,10,0.5503,-0.6,144,46,219,1,70
279,IL,62204,Discover,3184,02014707,2,0.4231,-0.86,135,40,9,2,1140
280,CA,95382,Wells,993,06922489,6,0.5511,-0.6,114,59,59,3,76
281,IL,62863,Associates,4481,01019196,1,0.9626,-0.04,103,37,4,2,1046
282,NY,14425,Discover,2831,02014658,2,0.6028,-0.51,138,48,9,1,1250
283,CA,90212,Wells_FIB,11225,10011543,10,0.5616,-0.58,87,59,90,4,63
284,CA,95125,Discover,3368,06012589,6,0.5720,-0.56,135,15,114,1,2500
285,FL,34488,Bank_Of_Am,2392,02014602,2,0.5875,-0.53,88,49,4,1,150
286,AZ,85705,Wells,5750,03923886,3,0.8646,-0.15,115,85,29,4,530
287,IN,47203,Associates,8380,09012094,9,0.2208,-1.51,96,90,121,6,340
288,TN,38551,Discover,2448,03013446,3,0.2848,-1.26,136,7,62,3,2635
289,ME,04901,Chase_Rev,1562,05012838,5,0.6439,-0.44,135,20,94,5,170
290,RI,02915,Discover,1563,01015676,1,0.5076,-0.68,142,33,73,4,1330
291,IL,60145,Associates,4130,06012645,6,0.9602,-0.04,134,79,51,1,375
292,MA,02038,Discover,3623,05012890,5,0.6991,-0.36,118,36,52,1,3971
293,TX,76104,Discover,3874,10011425,10,0.2366,-1.44,131,96,91,3,100
294,FL,33069,Associates,1133,05013001,5,0.9335,-0.07,142,60,133,1,282
295,MA,01930,Bank_Of_Am,1598,03013569,3,0.9877,-0.01,105,31,193,5,400
296,TX,78501,Discover,4571,10010142,10,0.7444,-0.3,125,14,22,1,922
297,LA,70538,Discover,1675,02014119,2,0.6704,-0.4,85,35,12,1,30
298,KS,66061,Chase,8395,08012182,8,0.3552,-1.04,126,38,106,8,670
299,WA,98007,Bank_Of_Am,478,01018894,1,0.1865,-1.68,108,57,38,1,108
300,AK,99503,Bank_Of_Am,4673,04013127,4,0.8963,-0.11,104,43,69,1,988
301,NJ,08859,Chase_Rev,2359,03013301,3,0.0666,-2.71,131,69,65,1,2755
302,TX,75228,Chase,9975,08000000,8,0.5030,-0.69,134,58,80,10,4000
303,CA,90631,Discover,559,02014610,2,0.8653,-0.14,119,57,50,6,677
304,CA,90037,Wells,1563,01019305,1,0.4981,-0.7,92,66,3,2,196
305,CA,95222,Associates,2943,06012661,6,0.6286,-0.46,127,82,132,7,1
306,GA,31763,Associates,9233,10011677,10,0.7681,-0.26,121,86,55,3,500
307,SC,29566,Chase,3937,04013277,4,0.8702,-0.14,97,28,8,3,175
308,NY,10033,Associates,1167,01017038,1,0.0954,-2.35,95,80,51,11,685
309,WI,53515,Bank_Of_Am,1296,01015590,1,0.9631,-0.04,122,35,24,3,1546
310,CA,95401,Discover,1826,02014403,2,0.0873,-2.44,121,55,79,7,450
311,NV,89118,Discover,2539,04013054,4,0.3898,-0.94,125,84,85,1,213
312,TX,79414,Associates,1697,07012544,7,0.5098,-0.67,115,6,161,5,1215
313,CA,91762,Wells,2477,01016637,1,0.3516,-1.05,143,86,17,6,130
314,HI,96792,Wells,2015,03013512,3,0.6673,-0.4,144,27,166,1,881
315,MA,01801,Chase_Rev,9496,09011991,9,0.0079,-4.84,139,60,109,2,1550
316,DC,20002,Associates,1414,01019198,1,0.4523,-0.79,117,22,96,5,922
317,TX,75028,Wells,6177,09012045,9,0.6990,-0.36,120,79,35,4,1760
318,TN,37303,Chase,828,03013359,3,0.5187,-0.66,134,16,65,3,835
319,NJ,07657,Discover,9619,05012774,5,0.5007,-0.69,124,27,181,5,5000
320,CA,92227,Bank_Of_Am,2425,08012336,8,0.3170,-1.15,133,23,39,2,50
321,FL,32541,Chase,1570,02013730,2,0.2489,-1.39,121,45,66,1,200
322,NJ,07036,Discover,6556,02013726,2,0.8856,-0.12,109,96,108,5,700
323,FL,34972,Chase,2405,04013225,4,0.9976,0,133,80,50,1,1437
324,MD,21655,Wells,8085,01015130,1,0.6743,-0.39,110,10,157,2,200
325,TX,77375,Chase_Rev,3095,10011830,10,0.0627,-2.77,113,56,107,2,66
