instant,season,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,count,abovecap
44,1,2,0,1,1,1,0.2225,0.41125,0.167283,3422,0
45,1,2,0,2,1,2,0.319167,0.50875,0.141179,3922,0
46,1,2,0,3,1,1,0.348333,0.53125,0.1816,4169,0
47,1,2,0,4,1,2,0.316667,0.752917,0.091425,3005,0
48,1,2,0,5,1,1,0.343333,0.634583,0.205846,4154,0
49,1,2,0,6,0,1,0.346667,0.534583,0.190929,4318,0
50,1,2,0,0,0,2,0.28,0.515833,0.253112,2689,0
51,1,2,1,1,0,1,0.28,0.507826,0.229083,3129,0
52,1,2,0,2,1,1,0.287826,0.594348,0.205717,3777,0
53,1,2,0,3,1,1,0.395833,0.567917,0.234471,4773,0
54,1,2,0,4,1,1,0.454167,0.554583,0.190913,5062,0
55,1,2,0,5,1,2,0.4075,0.7375,0.237567,3487,0
56,1,2,0,6,0,1,0.290833,0.395833,0.421642,2732,0
57,1,2,0,0,0,1,0.279167,0.41,0.205229,3389,0
58,1,2,0,1,1,1,0.366667,0.490833,0.268033,4322,0
59,1,2,0,2,1,1,0.359167,0.395833,0.193417,4363,0
60,1,2,0,3,1,2,0.344348,0.804783,0.179117,1834,0
61,1,3,0,4,1,1,0.485833,0.615417,0.226987,4990,0
62,1,3,0,5,1,2,0.353333,0.657083,0.144904,3194,0
63,1,3,0,6,0,2,0.414167,0.62125,0.161079,4066,0
64,1,3,0,0,0,1,0.325833,0.403333,0.334571,3423,0
65,1,3,0,1,1,1,0.243333,0.50625,0.228858,3333,0
66,1,3,0,2,1,1,0.258333,0.456667,0.200875,3956,0
67,1,3,0,3,1,1,0.404167,0.513333,0.345779,4916,0
68,1,3,0,4,1,1,0.5275,0.5675,0.441563,5382,0
69,1,3,0,5,1,2,0.410833,0.407083,0.4148,4569,0
70,1,3,0,6,0,1,0.2875,0.350417,0.22575,4118,0
71,1,3,0,0,0,1,0.361739,0.476957,0.222587,4911,0
72,1,3,0,1,1,1,0.466667,0.489167,0.207713,5298,0
73,1,3,0,2,1,1,0.565,0.6175,0.23695,5847,0
74,1,3,0,3,1,1,0.5725,0.507083,0.115062,6312,1
75,1,3,0,4,1,1,0.5575,0.579583,0.149883,6192,1
76,1,3,0,5,1,2,0.435833,0.842083,0.113192,4378,0
77,1,3,0,6,0,2,0.514167,0.755833,0.110704,7836,1
78,1,3,0,0,0,2,0.4725,0.81,0.126883,5892,0
79,1,3,0,1,1,1,0.545,0.72875,0.162317,6153,1
80,1,3,0,2,1,1,0.560833,0.807917,0.121271,6093,1
81,2,3,0,3,1,2,0.531667,0.82125,0.0895583,6230,1
82,2,3,0,4,1,1,0.554167,0.83125,0.117562,6871,1
83,2,3,0,5,1,2,0.601667,0.694167,0.1163,8362,1
84,2,3,0,6,0,2,0.5025,0.885417,0.192783,3372,0
85,2,3,0,0,0,2,0.4375,0.880833,0.220775,4996,0
86,2,3,0,1,1,1,0.445833,0.477917,0.386821,5558,0
87,2,3,0,2,1,1,0.323333,0.29,0.187192,5102,0
88,2,3,0,3,1,1,0.484167,0.48125,0.291671,5698,0
89,2,3,0,4,1,1,0.494167,0.439167,0.31965,6133,1
90,2,3,0,5,1,2,0.37,0.580833,0.138067,5459,0
91,2,3,0,6,0,2,0.424167,0.738333,0.250617,6235,1
92,2,4,0,0,0,2,0.425833,0.67625,0.172267,6041,1
93,2,4,0,1,1,1,0.433913,0.504348,0.312139,5936,0
94,2,4,0,2,1,1,0.466667,0.396667,0.100133,6772,1
95,2,4,0,3,1,1,0.541667,0.469583,0.180975,6436,1
96,2,4,0,4,1,1,0.435,0.374167,0.219529,6457,1
97,2,4,0,5,1,1,0.403333,0.377083,0.300388,6460,1
98,2,4,0,6,0,1,0.4375,0.254167,0.274871,6857,1
99,2,4,0,0,0,1,0.5,0.275833,0.232596,5169,0
100,2,4,0,1,1,1,0.489167,0.3175,0.358196,5585,0
101,2,4,0,2,1,1,0.446667,0.435,0.249375,5918,0
102,2,4,0,3,1,1,0.348696,0.469565,0.295274,4862,0
103,2,4,0,4,1,1,0.3975,0.46625,0.290429,5409,0
104,2,4,0,5,1,1,0.4425,0.408333,0.155471,6398,1
105,2,4,0,6,0,1,0.495,0.502917,0.190917,7460,1
106,2,4,0,0,0,1,0.606667,0.507917,0.225129,7132,1
107,2,4,1,1,0,1,0.664167,0.561667,0.284829,6370,1
108,2,4,0,2,1,1,0.608333,0.390417,0.273629,6691,1
109,2,4,0,3,1,2,0.463333,0.569167,0.167912,4367,0
110,2,4,0,4,1,1,0.498333,0.6125,0.0659292,6565,1
111,2,4,0,5,1,1,0.526667,0.694583,0.149871,7290,1
112,2,4,0,6,0,1,0.57,0.682917,0.283587,6624,1
113,2,4,0,0,0,3,0.396667,0.835417,0.344546,1027,0
114,2,4,0,1,1,2,0.321667,0.766667,0.303496,3214,0
115,2,4,0,2,1,1,0.413333,0.454167,0.249383,5633,0
116,2,4,0,3,1,1,0.476667,0.427917,0.118792,6196,1
117,2,4,0,4,1,2,0.498333,0.756667,0.176625,5026,0
118,2,4,0,5,1,1,0.4575,0.400833,0.347633,6233,1
119,2,4,0,6,0,2,0.376667,0.489583,0.129975,4220,0
120,2,4,0,0,0,1,0.458333,0.587083,0.116908,6304,1
121,2,4,0,1,1,2,0.464167,0.57,0.171638,5572,0
122,2,5,0,2,1,2,0.613333,0.659583,0.156096,5740,0
123,2,5,0,3,1,1,0.564167,0.797083,0.138058,6169,1
124,2,5,0,4,1,2,0.56,0.768333,0.133696,6421,1
125,2,5,0,5,1,1,0.6275,0.735417,0.162938,6296,1
126,2,5,0,6,0,2,0.621667,0.756667,0.152992,6883,1
127,2,5,0,0,0,2,0.5625,0.74,0.149879,6359,1
128,2,5,0,1,1,2,0.5375,0.664167,0.230721,6273,1
129,2,5,0,2,1,2,0.581667,0.685833,0.296029,5728,0
130,2,5,0,3,1,2,0.575,0.744167,0.216412,4717,0
131,2,5,0,4,1,1,0.505833,0.552083,0.314063,6572,1
132,2,5,0,5,1,1,0.533333,0.360417,0.236937,7030,1
133,2,5,0,6,0,1,0.564167,0.480417,0.123133,7429,1
134,2,5,0,0,0,1,0.6125,0.57625,0.225117,6118,1
135,2,5,0,1,1,2,0.573333,0.789583,0.212692,2843,0
136,2,5,0,2,1,2,0.611667,0.794583,0.147392,5115,0
137,2,5,0,3,1,1,0.636667,0.697917,0.122512,7424,1
138,2,5,0,4,1,1,0.593333,0.52,0.229475,7384,1
139,2,5,0,5,1,1,0.564167,0.523333,0.136817,7639,1
140,2,5,0,6,0,1,0.6,0.45625,0.083975,8294,1
141,2,5,0,0,0,1,0.620833,0.530417,0.254367,7129,1
142,2,5,0,1,1,2,0.598333,0.81125,0.233204,4359,0
143,2,5,0,2,1,2,0.615,0.765833,0.118167,6073,1
144,2,5,0,3,1,2,0.621667,0.774583,0.102,5260,0
145,2,5,0,4,1,1,0.655,0.716667,0.172896,6770,1
146,2,5,0,5,1,1,0.68,0.747083,0.14055,6734,1
147,2,5,0,6,0,1,0.6925,0.7325,0.198992,6536,1
148,2,5,0,0,0,1,0.69,0.697083,0.215171,6591,1
149,2,5,1,1,0,1,0.7125,0.67625,0.196521,6043,1
150,2,5,0,2,1,1,0.7225,0.684583,0.2954,5743,0
151,2,5,0,3,1,2,0.656667,0.67,0.134329,6855,1
152,2,5,0,4,1,1,0.68,0.492917,0.195279,7338,1
153,2,6,0,5,1,2,0.654167,0.755417,0.237563,4127,0
154,2,6,0,6,0,1,0.583333,0.549167,0.186562,8120,1
155,2,6,0,0,0,1,0.6025,0.493333,0.184087,7641,1
156,2,6,0,1,1,1,0.5975,0.487083,0.284833,6998,1
157,2,6,0,2,1,2,0.540833,0.613333,0.209575,7001,1
158,2,6,0,3,1,1,0.554167,0.61125,0.077125,7055,1
159,2,6,0,4,1,1,0.6025,0.567083,0.15735,7494,1
160,2,6,0,5,1,1,0.649167,0.467917,0.175383,7736,1
161,2,6,0,6,0,1,0.710833,0.437083,0.144287,7498,1
162,2,6,0,0,0,1,0.726667,0.538333,0.133721,6598,1
163,2,6,0,1,1,2,0.720833,0.587917,0.207713,6664,1
164,2,6,0,2,1,2,0.653333,0.833333,0.214546,4972,0
165,2,6,0,3,1,1,0.655833,0.582083,0.343279,7421,1
166,2,6,0,4,1,1,0.648333,0.569583,0.253733,7363,1
167,2,6,0,5,1,1,0.639167,0.589583,0.176617,7665,1
168,2,6,0,6,0,1,0.631667,0.504167,0.166667,7702,1
169,2,6,0,0,0,1,0.5925,0.59875,0.144904,6978,1
170,2,6,0,1,1,2,0.568333,0.777917,0.174746,5099,0
171,2,6,0,2,1,1,0.688333,0.69,0.148017,6825,1
172,2,6,0,3,1,1,0.7825,0.592083,0.113812,6211,1
173,3,6,0,4,1,1,0.805833,0.567917,0.118787,5905,0
174,3,6,0,5,1,1,0.7775,0.57375,0.182842,5823,0
175,3,6,0,6,0,1,0.731667,0.534583,0.179721,7458,1
176,3,6,0,0,0,1,0.743333,0.479167,0.145525,6891,1
177,3,6,0,1,1,1,0.715833,0.504167,0.300383,6779,1
178,3,6,0,2,1,1,0.630833,0.373333,0.347642,7442,1
179,3,6,0,3,1,1,0.6975,0.36,0.271775,7335,1
180,3,6,0,4,1,1,0.749167,0.4225,0.17165,6879,1
181,3,6,0,5,1,1,0.834167,0.48875,0.165417,5463,0
182,3,6,0,6,0,1,0.765,0.60125,0.161071,5687,0
183,3,7,0,0,0,1,0.815833,0.51875,0.168529,5531,0
184,3,7,0,1,1,1,0.781667,0.447083,0.195267,6227,1
185,3,7,0,2,1,1,0.780833,0.492083,0.126237,6660,1
186,3,7,1,3,0,1,0.789167,0.53875,0.13495,7403,1
187,3,7,0,4,1,1,0.8275,0.457917,0.194029,6241,1
188,3,7,0,5,1,1,0.828333,0.450833,0.146142,6207,1
189,3,7,0,6,0,1,0.861667,0.492083,0.163554,4840,0
190,3,7,0,0,0,1,0.8225,0.57375,0.125629,4672,0
191,3,7,0,1,1,2,0.710833,0.683333,0.180975,6569,1
192,3,7,0,2,1,2,0.720833,0.6675,0.151737,6290,1
193,3,7,0,3,1,1,0.716667,0.633333,0.151733,7264,1
194,3,7,0,4,1,1,0.715833,0.529583,0.146775,7446,1
195,3,7,0,5,1,2,0.731667,0.485833,0.08085,7499,1
196,3,7,0,6,0,2,0.703333,0.699167,0.143679,6969,1
197,3,7,0,0,0,1,0.745833,0.717917,0.166667,6031,1
198,3,7,0,1,1,1,0.763333,0.645,0.164187,6830,1
199,3,7,0,2,1,1,0.818333,0.505833,0.114429,6786,1
200,3,7,0,3,1,1,0.793333,0.577083,0.137442,5713,0
201,3,7,0,4,1,1,0.77,0.600417,0.165429,6591,1
202,3,7,0,5,1,2,0.665833,0.844167,0.208967,5870,0
203,3,7,0,6,0,3,0.595833,0.865417,0.2133,4459,0
204,3,7,0,0,0,2,0.6675,0.7625,0.0939208,7410,1
205,3,7,0,1,1,1,0.741667,0.694167,0.138683,6966,1
206,3,7,0,2,1,1,0.750833,0.655,0.211454,7592,1
207,3,7,0,3,1,1,0.724167,0.45,0.1648,8173,1
208,3,7,0,4,1,1,0.776667,0.596667,0.284813,6861,1
209,3,7,0,5,1,1,0.781667,0.594583,0.152992,6904,1
210,3,7,0,6,0,1,0.755833,0.613333,0.15735,6685,1
211,3,7,0,0,0,1,0.721667,0.62375,0.170396,6597,1
212,3,7,0,1,1,1,0.730833,0.66875,0.153617,7105,1
213,3,7,0,2,1,1,0.713333,0.704167,0.165425,7216,1
214,3,8,0,3,1,1,0.7175,0.6775,0.141179,7580,1
215,3,8,0,4,1,1,0.7525,0.659583,0.129354,7261,1
216,3,8,0,5,1,2,0.765833,0.6425,0.215792,7175,1
217,3,8,0,6,0,1,0.793333,0.613333,0.257458,6824,1
218,3,8,0,0,0,1,0.769167,0.6525,0.290421,5464,0
219,3,8,0,1,1,2,0.7525,0.654167,0.129354,7013,1
220,3,8,0,2,1,2,0.735833,0.70375,0.116908,7273,1
221,3,8,0,3,1,2,0.75,0.672917,0.1107,7534,1
222,3,8,0,4,1,1,0.755833,0.620417,0.1561,7286,1
223,3,8,0,5,1,2,0.715833,0.715833,0.238813,5786,0
224,3,8,0,6,0,2,0.6925,0.732917,0.206479,6299,1
225,3,8,0,0,0,1,0.700833,0.530417,0.122512,6544,1
226,3,8,0,1,1,1,0.720833,0.545417,0.136212,6883,1
227,3,8,0,2,1,1,0.726667,0.686667,0.169158,6784,1
228,3,8,0,3,1,1,0.706667,0.619583,0.169771,7347,1
229,3,8,0,4,1,1,0.719167,0.519167,0.141796,7605,1
230,3,8,0,5,1,1,0.723333,0.570833,0.231354,7148,1
231,3,8,0,6,0,1,0.678333,0.603333,0.177867,7865,1
232,3,8,0,0,0,2,0.635833,0.711667,0.08645,4549,0
233,3,8,0,1,1,2,0.635833,0.734167,0.129979,6530,1
234,3,8,0,2,1,1,0.649167,0.67375,0.0727708,7006,1
235,3,8,0,3,1,1,0.6675,0.677083,0.0702833,7375,1
236,3,8,0,4,1,1,0.695833,0.635833,0.0845958,7765,1
237,3,8,0,5,1,2,0.7025,0.615,0.0721458,7582,1
238,3,8,0,6,0,2,0.661667,0.712917,0.244408,6053,1
239,3,8,0,0,0,2,0.653333,0.845833,0.228858,5255,0
240,3,8,0,1,1,1,0.703333,0.730417,0.128733,6917,1
241,3,8,0,2,1,1,0.728333,0.62,0.190925,7040,1
242,3,8,0,3,1,1,0.685,0.552083,0.112562,7697,1
243,3,8,0,4,1,1,0.706667,0.590417,0.0771167,7713,1
244,3,8,0,5,1,1,0.764167,0.5875,0.168533,7350,1
245,3,9,0,6,0,2,0.753333,0.638333,0.113187,6140,1
246,3,9,0,0,0,2,0.696667,0.815,0.0640708,5810,0
247,3,9,1,1,0,1,0.7075,0.790833,0.151121,6034,1
248,3,9,0,2,1,1,0.725833,0.755,0.236321,6864,1
249,3,9,0,3,1,1,0.736667,0.74125,0.187808,7112,1
250,3,9,0,4,1,2,0.696667,0.810417,0.142421,6203,1
251,3,9,0,5,1,1,0.703333,0.73625,0.171646,7504,1
252,3,9,0,6,0,2,0.659167,0.799167,0.281104,5976,0
253,3,9,0,0,0,1,0.61,0.5475,0.224496,8227,1
254,3,9,0,1,1,1,0.583333,0.50375,0.258713,7525,1
255,3,9,0,2,1,1,0.5775,0.52,0.0920542,7767,1
256,3,9,0,3,1,1,0.599167,0.577083,0.131846,7870,1
257,3,9,0,4,1,1,0.6125,0.637083,0.0827208,7804,1
258,3,9,0,5,1,1,0.633333,0.6725,0.103863,8009,1
259,3,9,0,6,0,1,0.608333,0.501667,0.247521,8714,1
260,3,9,0,0,0,1,0.58,0.57,0.0901833,7333,1
261,3,9,0,1,1,2,0.580833,0.734583,0.151742,6869,1
262,3,9,0,2,1,2,0.623333,0.8725,0.357587,4073,0
263,3,9,0,3,1,1,0.5525,0.536667,0.215175,7591,1
264,3,9,0,4,1,1,0.546667,0.618333,0.118167,7720,1
265,3,9,0,5,1,1,0.599167,0.66875,0.154229,8167,1
266,3,9,0,6,0,1,0.65,0.646667,0.283583,8395,1
267,4,9,0,0,0,1,0.529167,0.467083,0.223258,7907,1
268,4,9,0,1,1,1,0.514167,0.492917,0.142404,7436,1
269,4,9,0,2,1,1,0.55,0.57,0.236321,7538,1
270,4,9,0,3,1,1,0.635,0.630833,0.2444,7733,1
271,4,9,0,4,1,2,0.65,0.690833,0.134342,7393,1
272,4,9,0,5,1,2,0.619167,0.69,0.164179,7415,1
273,4,9,0,6,0,1,0.5425,0.542917,0.227604,8555,1
274,4,9,0,0,0,1,0.526667,0.583333,0.134958,6889,1
275,4,10,0,1,1,2,0.520833,0.649167,0.0908042,6778,1
276,4,10,0,2,1,3,0.590833,0.871667,0.104475,4639,0
277,4,10,0,3,1,2,0.6575,0.79375,0.0665458,7572,1
278,4,10,0,4,1,2,0.6575,0.722917,0.117546,7328,1
279,4,10,0,5,1,1,0.615,0.6275,0.10635,8156,1
280,4,10,0,6,0,1,0.554167,0.664167,0.268025,7965,1
281,4,10,0,0,0,2,0.415833,0.708333,0.141162,3510,0
282,4,10,1,1,0,2,0.383333,0.709583,0.189679,5478,0
283,4,10,0,2,1,2,0.446667,0.761667,0.1903,6392,1
284,4,10,0,3,1,1,0.514167,0.630833,0.187821,7691,1
285,4,10,0,4,1,1,0.435,0.463333,0.181596,7570,1
286,4,10,0,5,1,1,0.4375,0.539167,0.235092,7282,1
287,4,10,0,6,0,1,0.393333,0.494583,0.146142,7109,1
288,4,10,0,0,0,1,0.521667,0.640417,0.278612,6639,1
289,4,10,0,1,1,2,0.561667,0.7075,0.296037,5875,0
290,4,10,0,2,1,1,0.468333,0.558333,0.182221,7534,1
291,4,10,0,3,1,1,0.455833,0.692917,0.101371,7461,1
292,4,10,0,4,1,2,0.5225,0.728333,0.236937,7509,1
293,4,10,0,5,1,2,0.563333,0.815,0.134954,5424,0
294,4,10,0,6,0,1,0.484167,0.572917,0.117537,8090,1
295,4,10,0,0,0,1,0.464167,0.51,0.166054,6824,1
296,4,10,0,1,1,1,0.4875,0.568333,0.0814833,7058,1
297,4,10,0,2,1,1,0.544167,0.641667,0.0945458,7466,1
298,4,10,0,3,1,1,0.5875,0.63625,0.0727792,7693,1
299,4,10,0,4,1,2,0.55,0.800417,0.124375,7359,1
300,4,10,0,5,1,2,0.545833,0.807083,0.132467,7444,1
301,4,10,0,6,0,2,0.53,0.72,0.235692,7852,1
302,4,10,0,0,0,2,0.4775,0.694583,0.398008,4459,0
303,4,10,0,1,1,3,0.44,0.88,0.3582,22,0
304,4,10,0,2,1,2,0.318182,0.825455,0.213009,1096,0
305,4,10,0,3,1,2,0.3575,0.666667,0.166667,5566,0
306,4,11,0,4,1,2,0.365833,0.581667,0.157346,5986,0
307,4,11,0,5,1,1,0.355,0.522083,0.266175,5847,0
308,4,11,0,6,0,2,0.343333,0.49125,0.270529,5138,0
309,4,11,0,0,0,1,0.325833,0.532917,0.179108,5107,0
310,4,11,0,1,1,1,0.319167,0.494167,0.236325,5259,0
311,4,11,0,2,1,1,0.280833,0.567083,0.173513,5686,0
312,4,11,0,3,1,2,0.295833,0.5475,0.304108,5035,0
313,4,11,0,4,1,1,0.352174,0.333478,0.347835,5315,0
314,4,11,0,5,1,1,0.361667,0.540833,0.214558,5992,0
315,4,11,0,6,0,1,0.389167,0.645417,0.0578458,6536,1
316,4,11,0,0,0,1,0.420833,0.659167,0.1275,6852,1
317,4,11,1,1,0,1,0.485,0.741667,0.173517,6269,1
318,4,11,0,2,1,2,0.343333,0.662917,0.342046,4094,0
319,4,11,0,3,1,1,0.289167,0.552083,0.199625,5495,0
320,4,11,0,4,1,2,0.321667,0.620417,0.152987,5445,0
321,4,11,0,5,1,1,0.345,0.524583,0.171025,5698,0
322,4,11,0,6,0,1,0.325,0.545417,0.179729,5629,0
323,4,11,0,0,0,1,0.3425,0.692917,0.227612,4669,0
324,4,11,0,1,1,2,0.380833,0.623333,0.235067,5499,0
325,4,11,0,2,1,2,0.374167,0.685,0.082725,5634,0
326,4,11,0,3,1,1,0.353333,0.61375,0.103246,5146,0
327,4,11,1,4,0,1,0.34,0.580417,0.0528708,2425,0
328,4,11,0,5,1,1,0.368333,0.56875,0.148021,3910,0
329,4,11,0,6,0,1,0.278333,0.404583,0.376871,2277,0
330,4,11,0,0,0,1,0.245833,0.468333,0.1505,2424,0
331,4,11,0,1,1,1,0.313333,0.535417,0.04665,5087,0
332,4,11,0,2,1,2,0.291667,0.786667,0.237562,3959,0
333,4,11,0,3,1,1,0.296667,0.50625,0.210821,5260,0
334,4,11,0,4,1,1,0.28087,0.555652,0.115522,5323,0
335,4,11,0,5,1,1,0.298333,0.649583,0.0584708,5668,0
336,4,12,0,6,0,2,0.298333,0.806667,0.0597042,5191,0
337,4,12,0,0,0,2,0.3475,0.823333,0.124379,4649,0
338,4,12,0,1,1,1,0.4525,0.7675,0.0827208,6234,1
339,4,12,0,2,1,1,0.475833,0.73375,0.174129,6606,1
340,4,12,0,3,1,1,0.438333,0.485,0.324021,5729,0
341,4,12,0,4,1,1,0.255833,0.50875,0.174754,5375,0
342,4,12,0,5,1,2,0.320833,0.764167,0.1306,5008,0
343,4,12,0,6,0,2,0.381667,0.91125,0.101379,5582,0
344,4,12,0,0,0,2,0.384167,0.905417,0.157975,3228,0
345,4,12,0,1,1,2,0.435833,0.925,0.190308,5170,0
346,4,12,0,2,1,2,0.353333,0.596667,0.296037,5501,0
347,4,12,0,3,1,2,0.2975,0.538333,0.162937,5319,0
348,4,12,0,4,1,1,0.295833,0.485833,0.174129,5532,0
349,4,12,0,5,1,1,0.281667,0.642917,0.131229,5611,0
350,4,12,0,6,0,1,0.324167,0.650417,0.10635,5047,0
351,4,12,0,0,0,2,0.3625,0.83875,0.100742,3786,0
352,4,12,0,1,1,2,0.393333,0.907083,0.0982583,4585,0
353,4,12,0,2,1,1,0.410833,0.66625,0.221404,5557,0
354,4,12,0,3,1,1,0.3325,0.625417,0.184092,5267,0
355,4,12,0,4,1,2,0.33,0.667917,0.132463,4128,0
356,1,12,0,5,1,2,0.326667,0.556667,0.374383,3623,0
357,1,12,0,6,0,1,0.265833,0.44125,0.407346,1749,0
358,1,12,0,0,0,1,0.245833,0.515417,0.133083,1787,0
359,1,12,0,1,1,2,0.231304,0.791304,0.0772304,920,0
360,1,12,1,2,0,2,0.291304,0.734783,0.168726,1013,0
361,1,12,0,3,1,3,0.243333,0.823333,0.316546,441,0
362,1,12,0,4,1,2,0.254167,0.652917,0.350133,2114,0
363,1,12,0,5,1,2,0.253333,0.59,0.155471,3095,0
364,1,12,0,6,0,2,0.253333,0.752917,0.124383,1341,0
365,1,12,0,0,0,1,0.255833,0.483333,0.350754,1796,0
366,1,12,0,1,1,2,0.215833,0.5775,0.154846,2729,0
